Latitude,Longitude,Report_Type,Days_Since_Last_Issue,Predicted_Severity
36.583104,78.276737,Shortage,43,High
31.319756,78.867265,Shortage,48,High
35.971709,75.097792,Shortage,19,High
9.693924,74.690994,Contamination,51,Critical
21.374949,91.20793,Leak,46,Medium
36.026285,93.96818,Leak,5,Low
32.894858,74.372899,Contamination,1,High
11.896778,96.391264,Shortage,3,Medium
34.948163,72.095875,Leak,40,Medium
15.590491,87.331976,Shortage,55,High
22.889678,72.716223,Contamination,2,High
31.98204,76.967231,Contamination,51,Critical
26.889728,84.844506,Contamination,11,Critical
9.712236,73.950932,Contamination,14,Critical
11.579606,75.94553,Leak,27,Medium
20.293876,69.570509,Leak,22,Medium
26.246729,73.691726,Leak,52,Medium
22.942054,96.497619,Shortage,23,High
25.514218,79.672506,Shortage,3,Medium
33.632904,68.191572,Shortage,23,High
14.78806,93.996139,Contamination,9,Critical
8.154191,79.572644,Contamination,52,Critical
36.692381,72.147821,Leak,31,Medium
25.358478,95.42408,Shortage,41,High
12.182118,91.326988,Shortage,8,High
28.678622,86.286317,Contamination,23,Critical
9.581263,78.450115,Leak,7,Low
18.944303,79.929753,Contamination,13,Critical
8.992359,81.147119,Leak,4,Low
31.775544,70.608948,Shortage,9,High
9.286568,80.431475,Leak,42,Medium
24.031312,91.456227,Leak,60,Medium
30.975383,82.495096,Leak,34,Medium
8.698891,84.2798,Contamination,7,Critical
21.853247,86.978602,Contamination,58,Critical
29.226449,81.174549,Contamination,8,Critical
16.518426,88.606,Leak,15,Medium
27.772209,71.973928,Shortage,39,High
36.808018,84.355523,Leak,38,Medium
26.039853,68.233814,Shortage,51,High
23.110659,87.06522,Shortage,46,High
30.671802,93.266163,Shortage,38,High
29.861932,75.008097,Leak,10,Medium
20.98578,74.034678,Shortage,54,High
16.13975,88.053523,Shortage,6,High
36.66772,87.595994,Shortage,14,High
26.163187,91.239475,Leak,30,Medium
34.212398,76.686834,Leak,8,Medium
13.186807,68.290655,Contamination,15,Critical
12.878624,96.475639,Contamination,30,Critical
32.399439,76.451195,Leak,20,Medium
34.960136,78.772472,Contamination,0,High
30.484304,95.807839,Leak,6,Low
25.574424,89.668223,Leak,14,Medium
27.625172,93.815816,Contamination,40,Critical
36.036248,82.587312,Shortage,40,High
15.279498,86.530143,Shortage,50,High
36.77481,84.932461,Shortage,32,High
32.293945,81.269946,Shortage,30,High
20.342919,84.019007,Leak,15,Medium
30.4797,70.277596,Leak,55,Medium
27.418526,81.498495,Leak,6,Low
29.021284,81.185269,Shortage,42,High
28.061492,93.023808,Shortage,58,High
16.589861,76.313073,Shortage,23,High
33.946314,89.283544,Shortage,19,High
30.966407,74.80047,Leak,33,Medium
32.141287,94.174954,Contamination,37,Critical
36.917259,85.899353,Leak,41,Medium
21.333695,80.16266,Leak,24,Medium
13.417602,68.139209,Contamination,15,Critical
26.259645,68.969162,Shortage,42,High
21.12305,72.848366,Leak,6,Low
23.287517,90.051468,Leak,11,Medium
23.879655,71.471869,Shortage,0,Medium
36.434643,69.298632,Leak,17,Medium
17.556712,90.051093,Shortage,25,High
12.476181,90.762396,Shortage,3,Medium
16.702899,79.991064,Contamination,23,Critical
18.103012,92.961393,Shortage,59,High
16.447982,86.395239,Leak,42,Medium
29.213188,88.617953,Shortage,46,High
26.888559,74.336168,Contamination,17,Critical
28.69271,83.680232,Shortage,20,High
27.355853,93.974037,Shortage,49,High
15.565117,95.236881,Contamination,21,Critical
34.828801,91.9,Contamination,51,Critical
11.490817,90.694102,Leak,1,Low
11.023668,76.989836,Contamination,46,Critical
32.952897,82.948145,Contamination,23,Critical
35.55229,82.692718,Shortage,32,High
33.441969,76.332653,Contamination,28,Critical
28.989294,80.881706,Leak,19,Medium
16.129577,84.320585,Contamination,6,Critical
30.183783,83.325276,Shortage,49,High
14.346547,79.046897,Shortage,20,High
33.212652,73.381271,Contamination,9,Critical
11.195175,93.884121,Shortage,60,High
15.121983,72.734461,Shortage,24,High
9.469761,83.478929,Contamination,13,Critical
21.505809,87.886893,Leak,5,Low
19.974349,73.571386,Leak,14,Medium
14.346538,95.224989,Leak,56,Medium
24.499047,96.255013,Leak,12,Medium
9.909739,72.114459,Shortage,2,Medium
15.919859,95.295623,Shortage,46,High
31.555203,82.286816,Shortage,11,High
19.607903,88.045569,Leak,18,Medium
14.236873,79.742899,Shortage,10,High
18.566309,68.364492,Shortage,15,High
20.202691,89.560685,Shortage,42,High
11.997441,93.791209,Leak,26,Medium
11.234999,84.610267,Leak,58,Medium
27.772077,88.689847,Leak,31,Medium
36.87172,93.37723,Leak,21,Medium
35.814968,82.433439,Shortage,36,High
23.168485,71.315697,Leak,32,Medium
19.955227,74.088646,Contamination,45,Critical
8.32824,73.528462,Shortage,10,High
28.551781,70.096787,Leak,8,Medium
32.720964,92.534811,Contamination,3,High
26.520478,92.573234,Leak,59,Medium
27.19843,91.727546,Leak,38,Medium
20.715768,84.554614,Shortage,55,High
10.573801,73.255948,Shortage,54,High
35.083717,79.039696,Contamination,36,Critical
24.838569,78.404973,Contamination,37,Critical
13.764277,82.267173,Leak,5,Low
31.97501,90.036088,Leak,32,Medium
21.897025,78.417054,Leak,44,Medium
30.386086,91.746415,Shortage,22,High
13.042755,75.315586,Leak,40,Medium
17.730596,71.228901,Shortage,52,High
28.015967,68.334902,Shortage,2,Medium
31.293423,76.570574,Shortage,8,High
17.156063,71.649472,Contamination,48,Critical
36.69539,76.207603,Shortage,5,Medium
28.374303,93.938148,Shortage,43,High
19.830685,74.509578,Shortage,52,High
18.215349,89.766444,Contamination,48,Critical
9.097768,91.470473,Leak,46,Medium
18.392251,83.778555,Leak,3,Low
19.766595,75.254586,Shortage,30,High
31.410613,91.051986,Shortage,25,High
36.854965,85.242273,Contamination,23,Critical
11.168067,70.34773,Leak,49,Medium
9.843093,94.848683,Contamination,1,High
27.759417,76.337404,Leak,19,Medium
16.822044,88.358418,Leak,14,Medium
26.76106,88.961479,Contamination,34,Critical
21.526206,92.271728,Contamination,6,Critical
22.234399,81.611807,Contamination,0,High
16.195288,84.036217,Contamination,14,Critical
14.796885,87.449268,Contamination,24,Critical
24.465054,91.262287,Contamination,36,Critical
31.289143,68.572667,Contamination,58,Critical
16.103382,91.648775,Contamination,38,Critical
26.541189,94.347546,Contamination,25,Critical
27.084985,94.151234,Shortage,50,High
24.801463,82.216166,Contamination,44,Critical
33.136794,87.230873,Leak,12,Medium
34.451176,73.072989,Shortage,29,High
24.617495,90.251801,Leak,47,Medium
34.344426,74.823022,Contamination,33,Critical
15.389708,95.106999,Shortage,55,High
14.758314,77.649118,Contamination,37,Critical
17.651143,82.181394,Contamination,27,Critical
9.092075,79.094863,Shortage,21,High
13.458754,84.347298,Shortage,12,High
30.011277,73.215662,Contamination,33,Critical
8.976171,84.960717,Shortage,15,High
28.735283,79.586054,Shortage,48,High
10.841327,87.161618,Shortage,22,High
36.238625,82.614524,Shortage,60,High
8.107754,96.100233,Shortage,22,High
35.450794,90.344017,Shortage,31,High
11.1918,76.193859,Contamination,43,Critical
27.580246,70.170668,Contamination,36,Critical
18.927507,92.200035,Shortage,20,High
35.857392,80.506896,Shortage,29,High
19.2163,70.410794,Shortage,45,High
18.992167,75.016416,Leak,57,Medium
15.957259,88.594411,Shortage,32,High
29.544517,86.792465,Shortage,39,High
19.933338,70.428784,Contamination,34,Critical
28.31501,76.662949,Shortage,43,High
9.906795,76.78991,Contamination,59,Critical
13.01117,92.016345,Contamination,24,Critical
29.338167,78.774611,Leak,36,Medium
25.740614,77.155658,Contamination,6,Critical
17.922194,90.369796,Contamination,37,Critical
28.340463,93.344641,Contamination,4,Critical
28.971425,96.962612,Leak,6,Low
36.093549,82.790045,Shortage,30,High
27.912121,94.806659,Leak,22,Medium
19.541636,77.544426,Shortage,41,High
9.133842,87.532899,Leak,26,Medium
32.566893,82.883591,Leak,25,Medium
29.193871,93.152903,Shortage,22,High
14.223948,87.463592,Shortage,22,High
33.55134,87.581824,Leak,55,Medium
26.635469,74.951451,Contamination,13,Critical
19.180297,72.199683,Contamination,5,Critical
21.766541,71.876544,Leak,5,Low
16.4117,70.952797,Shortage,1,Medium
23.702324,96.686165,Shortage,50,High
31.868339,74.635646,Contamination,44,Critical
23.577643,90.857678,Shortage,21,High
17.722849,79.220254,Shortage,36,High
22.571491,86.90952,Shortage,42,High
8.809171,88.613437,Contamination,20,Critical
17.714929,95.950018,Leak,34,Medium
23.069983,72.112564,Shortage,28,High
14.820527,79.724568,Leak,24,Medium
18.879061,69.318983,Contamination,28,Critical
18.69912,86.501383,Leak,41,Medium
28.070608,92.094532,Leak,13,Medium
23.122142,71.351412,Contamination,51,Critical
9.598571,91.588628,Contamination,53,Critical
21.742701,83.442228,Contamination,15,Critical
8.802653,74.296696,Contamination,16,Critical
16.082157,80.058724,Leak,54,Medium
28.069577,86.295533,Contamination,49,Critical
23.771395,70.528282,Contamination,5,Critical
9.028861,90.156883,Shortage,56,High
16.129132,82.291396,Leak,17,Medium
36.607617,86.524318,Contamination,11,Critical
27.22159,70.575621,Shortage,31,High
8.261363,83.424459,Shortage,49,High
16.392167,83.495761,Contamination,43,Critical
23.159854,89.049826,Shortage,13,High
16.495737,76.8238,Leak,56,Medium
23.081226,75.309193,Shortage,35,High
14.26881,88.50713,Leak,2,Low
17.999874,93.435318,Leak,1,Low
30.264481,96.36048,Contamination,6,Critical
34.331524,70.170674,Contamination,24,Critical
11.167128,71.371348,Shortage,60,High
28.86432,95.747017,Contamination,38,Critical
24.692269,80.551901,Leak,21,Medium
31.802283,96.427848,Contamination,1,High
29.728833,75.676007,Leak,17,Medium
36.412254,96.641413,Contamination,5,Critical
18.513146,72.9965,Shortage,29,High
34.243452,71.231973,Contamination,59,Critical
14.099899,83.572803,Shortage,1,Medium
12.441259,71.778687,Contamination,10,Critical
32.773279,84.656783,Shortage,53,High
25.235254,94.271854,Contamination,55,Critical
33.573919,90.72988,Contamination,33,Critical
31.764123,74.14316,Contamination,20,Critical
10.861012,94.381412,Contamination,14,Critical
8.996911,88.238733,Leak,21,Medium
17.393074,87.789122,Leak,34,Medium
33.983051,71.950384,Leak,28,Medium
20.295563,71.427747,Contamination,51,Critical
32.188566,94.168179,Shortage,23,High
25.764031,77.127164,Contamination,16,Critical
16.244583,85.251564,Leak,29,Medium
35.323808,69.787028,Leak,20,Medium
28.952809,91.451112,Shortage,41,High
33.217792,96.762166,Leak,11,Medium
30.910855,95.549039,Contamination,56,Critical
26.385096,73.387808,Contamination,37,Critical
35.240961,89.768079,Leak,22,Medium
31.396879,74.391236,Shortage,19,High
24.413806,83.068015,Leak,13,Medium
21.525711,73.543168,Leak,2,Low
20.236541,84.20859,Leak,60,Medium
17.294527,90.319295,Contamination,17,Critical
15.965001,83.96802,Leak,55,Medium
14.441706,89.144132,Shortage,44,High
10.969632,90.541996,Shortage,16,High
8.685302,88.570567,Shortage,43,High
15.643745,77.065431,Contamination,23,Critical
8.398061,87.837248,Contamination,50,Critical
27.364327,88.234397,Leak,6,Low
26.544257,94.504145,Leak,37,Medium
12.076925,76.331756,Leak,34,Medium
8.949282,80.013221,Contamination,39,Critical
30.361481,89.494111,Contamination,42,Critical
27.817792,94.17739,Shortage,10,High
24.643138,74.547108,Leak,2,Low
11.065443,78.909583,Leak,27,Medium
24.976531,93.599575,Contamination,28,Critical
16.478919,88.506439,Contamination,21,Critical
27.424455,94.902579,Leak,8,Medium
19.143019,78.953508,Leak,34,Medium
30.435026,92.915576,Shortage,17,High
9.265867,78.390948,Leak,4,Low
13.554068,73.905499,Contamination,55,Critical
27.741892,68.75777,Leak,11,Medium
19.082527,91.212698,Shortage,37,High
21.789323,93.561252,Leak,32,Medium
31.354394,77.268802,Contamination,47,Critical
24.637987,74.22138,Shortage,14,High
33.298196,78.708027,Contamination,18,Critical
10.379405,75.793279,Shortage,11,High
15.418282,84.065383,Shortage,9,High
15.841722,82.798893,Shortage,39,High
27.397153,83.988962,Leak,44,Medium
25.965398,71.02036,Contamination,30,Critical
16.922676,86.566298,Contamination,34,Critical
23.353091,76.775735,Shortage,40,High
22.034165,94.050618,Shortage,46,High
13.422698,78.116004,Contamination,11,Critical
28.905575,96.620946,Shortage,54,High
19.15601,93.876841,Contamination,9,Critical
23.576809,90.358967,Contamination,53,Critical
10.194323,80.246934,Leak,40,Medium
10.859258,72.896845,Shortage,0,Medium
23.295765,94.757232,Contamination,42,Critical
21.296384,74.990439,Shortage,57,High
19.621756,75.131572,Contamination,45,Critical
13.658476,73.297132,Leak,21,Medium
36.924658,79.46143,Leak,34,Medium
31.342739,72.157731,Contamination,45,Critical
26.20839,81.475863,Contamination,22,Critical
9.031757,71.608251,Shortage,31,High
24.176698,76.872849,Shortage,34,High
21.612686,83.742719,Shortage,10,High
21.995786,80.335087,Leak,27,Medium
34.899048,86.16543,Shortage,21,High
16.080285,85.835273,Contamination,56,Critical
23.263289,80.459271,Shortage,4,Medium
32.43715,74.478752,Shortage,22,High
34.847547,74.05748,Leak,47,Medium
33.652753,83.091205,Leak,46,Medium
36.884431,80.728999,Leak,17,Medium
12.095152,79.289246,Contamination,28,Critical
25.342716,80.845397,Leak,27,Medium
20.922105,94.831516,Contamination,19,Critical
20.964709,93.815125,Contamination,36,Critical
8.592065,86.464259,Leak,51,Medium
12.343482,89.692678,Contamination,55,Critical
31.808133,95.145938,Leak,13,Medium
32.296601,91.090446,Shortage,26,High
8.111983,94.69804,Leak,44,Medium
14.669157,76.281978,Contamination,35,Critical
15.189566,68.18495,Contamination,42,Critical
18.774482,76.428378,Contamination,28,Critical
27.390221,72.336407,Shortage,11,High
32.834492,72.799856,Shortage,20,High
29.658535,71.351111,Contamination,51,Critical
33.188525,89.968772,Contamination,0,High
12.109962,86.385665,Contamination,48,Critical
20.660984,84.973698,Contamination,4,Critical
34.655387,93.119597,Leak,15,Medium
22.25528,89.960496,Contamination,14,Critical
35.488349,70.927981,Contamination,22,Critical
34.907631,87.29116,Leak,24,Medium
9.314992,93.827918,Shortage,23,High
17.166653,69.745302,Shortage,23,High
29.981155,80.898078,Shortage,51,High
18.75847,85.800522,Leak,15,Medium
28.517377,93.29545,Contamination,6,Critical
21.39718,88.679047,Contamination,4,Critical
9.266712,84.663816,Contamination,8,Critical
36.357869,79.922273,Shortage,30,High
15.419584,79.498723,Contamination,19,Critical
24.516213,85.887289,Shortage,45,High
13.221604,87.075136,Contamination,47,Critical
17.262772,74.38793,Shortage,36,High
35.520898,73.450445,Contamination,20,Critical
28.624199,91.965986,Contamination,3,High
17.346958,84.138484,Shortage,41,High
30.608147,89.668708,Shortage,57,High
35.416452,72.619939,Shortage,36,High
29.252933,84.433882,Shortage,7,High
32.276176,82.110526,Shortage,51,High
27.016698,89.99937,Leak,9,Medium
35.251361,92.610627,Leak,50,Medium
